SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_650_4,210925,2210700,40989574,496500,5263,297800,3449,81900,2914,84100,
seq_650_5,210925,2060600,41100667,527000,5265,294900,2932,75300,3938,86500,
seq_650_6,210925,2068100,41212351,550800,5284,1179500,3603,116400,3490,170300,
seq_650_7,210925,1976800,41318096,499200,5249,327200,3202,77500,2961,82500,
seq_650_8,210925,2066500,41421703,491100,5289,874900,3521,143900,3315,152600,
seq_650_9,210925,2280500,41525711,737800,5283,398000,2943,76700,3121,90200,
seq_650_10,210925,1987800,41630106,882500,5270,441100,3432,116100,3068,116000,
seq_650_11,210925,2163000,41738371,971300,5255,450800,2722,100900,3509,129900,
seq_650_12,210925,2682500,41838806,1016200,5274,463500,3175,105900,2759,102400,
seq_650_13,210925,2218400,41943656,558600,5255,372800,3302,76800,3227,85400,
seq_650_14,210925,2404500,42044235,620700,5295,297500,3473,77600,3451,84300,
seq_650_15,210925,2673500,42145459,483800,5278,296200,4182,80700,3377,86900,
seq_650_16,210925,2680300,42248108,751200,5303,335500,3353,123100,2396,118100,
seq_650_17,210925,2683600,42352608,576700,5272,297600,3236,74900,3231,84900,
seq_650_18,210925,3438800,42456684,567300,5260,308100,3081,76400,3457,84400,
seq_650_19,210925,2982500,42560340,921600,5279,450400,2965,76200,2915,83400,
seq_650_20,210925,3848700,42664269,681300,5262,301200,3649,77200,3406,85600,
seq_650_21,210925,2749200,42769803,595000,5288,862100,2973,841200,3288,108800,
seq_650_22,210925,2847300,42875428,942500,5285,448800,2826,115300,3457,129400,
seq_650_23,210925,2920200,42975858,474700,5263,299400,2600,78200,3526,87700,
seq_650_24,210925,2935000,43085109,945300,5248,938600,3177,100300,3350,124400,
seq_650_25,210925,2197900,43189846,495400,5254,303900,2805,75900,3063,83700,
seq_650_26,210925,3586000,43301173,1065600,5246,497500,3227,116400,3335,130900,
seq_650_27,210925,2759300,43409256,585000,5260,297800,2970,606900,2868,115800,
seq_650_28,210925,3095800,43509962,1027700,5274,302200,2878,76200,2894,84200,
seq_650_29,210925,4369000,43615519,505700,5284,299700,3226,77000,3152,84400,
seq_650_30,210925,3169400,43719019,1139700,5259,490900,3440,104800,2998,114300,
seq_650_31,210925,3273800,43824536,1009100,5268,491000,3425,115300,3096,128900,
seq_650_32,210925,4473300,43930171,1020100,5270,494200,3083,114700,3035,127200,
seq_650_33,210925,2648600,44034310,492100,5271,297500,2858,74900,3135,83900,
